GraveID	GraveName	PhaseID	GraveDepth	HumanMNI	CitationID	ItemID	notes	time_added	user_added	time_last_update	user_last_update
G06027	Grave 8	PRMIS2	17	1	ernée2015a	\N	\N	\N	\N	2022-06-20 11:06:28	robert@localhost
G06028	Grave 18	PRMIS2	14	1	ernée2015a	\N	\N	\N	\N	2022-06-20 11:06:28	robert@localhost
G06029	Grave 31	PRMIS2	40	1	ernée2015a	\N	\N	\N	\N	2022-06-20 11:06:28	robert@localhost
G06030	Grave 32	PRMIS2	74	1	ernée2015a	\N	\N	\N	\N	2022-06-20 11:06:28	robert@localhost
G06031	Grave 42	PRMIS2	42	1	ernée2015a	\N	\N	\N	\N	2022-06-20 11:06:28	robert@localhost
G13029	16	PRMIS2	110	1	ernée2015a	\N	\N	2024-05-10 13:31:26	sam@localhost	2024-05-10 13:31:26	sam@localhost
G13030	20	PRMIS2	66	1	ernée2015a	\N	\N	2024-05-10 13:31:26	sam@localhost	2024-05-10 13:31:26	sam@localhost
G13031	33	PRMIS2	110	1	ernée2015a	\N	\N	2024-05-10 13:31:26	sam@localhost	2024-05-10 13:31:26	sam@localhost
G06032	Grave 27	PRMIS3	60	1	ernée2015a	\N	\N	\N	\N	2022-06-20 11:06:28	robert@localhost
G16921	13/1	FSLN	\N	1	kaupo2023a	\N	\N	2025-08-21 11:19:53	yuzhen_li@localhost	2025-08-21 11:19:53	yuzhen_li@localhost
G16922	13/2	FSLN	\N	1	kaupo2023a	\N	\N	2025-08-21 11:19:53	yuzhen_li@localhost	2025-08-21 11:19:53	yuzhen_li@localhost
G16923	\N	FSLN	\N	1	kaupo2023a	\N	\N	2025-08-21 11:19:53	yuzhen_li@localhost	2025-08-21 11:19:53	yuzhen_li@localhost
G16924	131	FSLN	\N	1	kaupo2023a	\N	\N	2025-08-21 11:19:53	yuzhen_li@localhost	2025-08-21 11:19:53	yuzhen_li@localhost
G16925	132	FSLN	\N	1	kaupo2023a	\N	\N	2025-08-21 11:19:53	yuzhen_li@localhost	2025-08-21 11:19:53	yuzhen_li@localhost
G16926	\N	FSLN	\N	1	kaupo2023a	\N	\N	2025-08-21 11:19:53	yuzhen_li@localhost	2025-08-21 11:19:53	yuzhen_li@localhost
G16927	\N	FSLN	\N	1	kaupo2023a	\N	\N	2025-08-21 11:19:53	yuzhen_li@localhost	2025-08-21 11:19:53	yuzhen_li@localhost
G16928	135	FSLN	\N	1	kaupo2023a	\N	\N	2025-08-21 11:19:53	yuzhen_li@localhost	2025-08-21 11:19:53	yuzhen_li@localhost
G16929	136	FSLN	\N	1	kaupo2023a	\N	\N	2025-08-21 11:19:53	yuzhen_li@localhost	2025-08-21 11:19:53	yuzhen_li@localhost
G16930	137	FSLN	\N	1	kaupo2023a	\N	\N	2025-08-21 11:19:53	yuzhen_li@localhost	2025-08-21 11:19:53	yuzhen_li@localhost
